ALBUM_ID,USER_ID,ALBUM_NAME,CREATED_TIMESTAMP,ALBUM_IMG,DESCRIPTION,ALBUM_LINK,RELEASE_TIMESTAMP
1,5,Formula of Love: O+T=<3,8/7/2021 6:00:01,https://i1.sndcdn.com/artworks-3b0518b8-77e9-47c2-8ca7-fbf441435767-0-t500x500.jpg,"My lovely album, my lovely band.",https://soundcloud.com/twice-57013/sets/formula-of-love-o-t-3-1,8/9/2021 6:00:01
2,2,The 1st,11/16/2021 10:30:50,https://i1.sndcdn.com/artworks-6b1c63fb-8d73-48e2-b998-689d6cdc6725-0-t500x500.jpg,"He is 10 cm, but I love you 3000.",https://soundcloud.com/10cmofficial/sets/the-1st-ep-1,11/20/2021 10:30:50
3,1,TAEYEON - 불티 (Spark) [Purpose - The 2nd Album],7/9/2016 9:13:35,https://i1.sndcdn.com/artworks-000639061858-q92mad-t500x500.jpg,Ya e ya e ya ya e yah yah.,https://soundcloud.com/l2share/sets/taeyeon-spark-purpose-the-2nd-album,7/12/2016 9:13:35
4,7,INSPIRED,1/10/2018 10:18:20,https://i1.sndcdn.com/artworks-000006721749-lxqxnv-t500x500.jpg,Vi tee duu mi yak a rai.,https://soundcloud.com/polycat/sets/inspired-2,1/13/2018 10:18:20
5,9,Album Sampler Out Now,10/23/2017 6:40:41,https://i1.sndcdn.com/artworks-000010417501-8klwbd-t500x500.jpg,"I found the love, for mheee.",https://soundcloud.com/edsheeran/sets/sampler-20,10/27/2017 6:40:41
6,3,THE ALBUM,4/19/2015 19:34:12,https://i1.sndcdn.com/artworks-6c8141af-033c-45ea-888c-6a6996fb3dd2-0-t500x500.jpg,"Boombayah, yah, yah. ",https://soundcloud.com/blackpinkofficial/sets/the-album-947038808,4/21/2015 19:34:12
7,5,The Feels,6/7/2021 10:00:57,https://i1.sndcdn.com/artworks-d774b3af-23d1-4f2b-84e7-9efedce35e94-0-t500x500.jpg,"I got the feels for you yeah, yeah, yeah!",https://soundcloud.com/twice-57013/sets/the-feels-43595732,6/10/2021 10:00:57
8,4,아이유 (IU) - Love poem (5th Mini Album) (Blueming),8/14/2021 17:15:25,https://i1.sndcdn.com/artworks-000639202423-4uloia-t500x500.jpg,I luv U,https://soundcloud.com/l2share/sets/iu-blueming-love-poem-5th-mini-album,8/18/2021 17:15:25
9,7,FAKE LOVE / Airplane pt.2,3/3/2018 13:26:39,https://i1.sndcdn.com/artworks-DkCfhqOcdN0O-0-t500x500.jpg,Bangkok Train Station.,https://soundcloud.com/bangtan/sets/fake-love-airplane-pt-2,3/9/2013 13:26:39
10,8,ITZY (있지) - GUESS WHO 'MAFIA 마.피.아. In the morning',5/29/2021 13:04:51,https://i1.sndcdn.com/artworks-LH2xkpQnITi1cyAw-UZWlcw-t500x500.jpg,I'm a M.A.F.I.A.,https://soundcloud.com/l2share/sets/itzy-guess-who-in-the-morning,6/3/2021 13:04:51
