USER_ID1,USER_ID2,TIMESTAMP_AT_BLOCK
3,5,2021/04/05 5:53:50
7,1,2021/16/01 22:54:19
1,5,2021/06/03 18:17:43
2,2,2021/04/20 8:54:11
7,2,2021/09/09 14:51:34
5,6,2021/02/15 11:52:05
10,10,2021/03/04 8:22:26
7,4,18/02/2021 08:20:12
8,9,2021/03/29 9:17:41
6,9,2021/06/16 9:42:41
10,4,2021/11/01 21:40:58
2,4,2021/07/30 8:53:08
4,2,2021/03/19 10:15:06
2,10,2021/08/15 1:24:39
7,10,2021/03/16 23:32:04
6,3,2021/09/28 15:46:09
9,4,2021/08/30 10:05:28
6,9,2021/04/20 20:05:22
7,10,2021/05/29 19:20:44
2,1,2021/02/02 18:53:36
8,2,2021/06/19/08:51:59
10,1,2021/03/06 17:29:35
8,6,2021/01/05 14:15:55
3,2,2021/04/29 23:46:03
9,6,2021/08/09 9:56:08
7,9,2021/09/13 13:46:30
9,5,2021/03/16/ 19:19:05
7,5,2021/09 /28 21:25:54
4,8,2021/02/07 15:43:26
1,8,2021/10/22 2:17:11
