CALLING_ID,USER_ID,OPERATOR_ID,TIMESTAMP_AT_CALL
1,1,5,2021/05/31 17:49:29
2,8,10,2021/01/10 23:11:16
3,9,9,2021/07/27 10:18:07
4,7,6,2021/06/05 9:00:50
5,9,1,2021/10/29 1:55:03
6,3,6,2021/11/09 16:04:06
7,3,5,2021/04/01 16:09:26
8,10,9,2021/01/06 11:40:41
9,7,8,2021/05/08 2:08:46
10,4,7,2021/02/19 4:22:26
11,7,1,2021/05/12 0:47:02
12,5,5,2021/10/08 13:40:08
13,3,10,2021/05/27 7:23:03
14,2,3,2021/05/11 13:28:52
15,5,8,2021/05/19 20:16:09
16,7,9,2021/03/30 5:32:10
17,9,6,2021/09/08 20:50:35
18,3,10,2021/05/13 2:58:35
19,7,7,2021/02/01 17:24:40
20,8,5,2021/08/10 14:41:15
21,1,9,2021/03/06 6:22:28
22,7,3,2021/03/13 19:33:43
23,6,4,2021/09/30 20:56:24
24,2,7,2021/11/07 19:03:21
25,4,4,2021/05/23 23:48:15
26,5,8,2021/11/16 15:07:45
27,4,10,2021/06/02 20:29:46
28,7,10,2021/01/29 23:02:44
29,4,6,2021/04/14 21:27:16
30,5,2,2021/02/11 11:45:22
