USER_ID,POST_ID,TIMESTAMP_AT_POST,POST_DESCRIPTION
8,1,2021/04/18 22:10:37,So long and thanks for the fish.
8,2,2021/04/29 17:29:18,The random sentence generator generated a random sentence about a random sentence.
2,3,2021/06/03 17:21:44,"At that moment he wasn't listening to music, he was living an experience."
6,4,2021/02/07 16:03:13,Now I need to ponder my existence and ask myself if I'm truly real
10,5,2021/09/08 3:51:16,"As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something."
8,6,2021/10/14 1:22:32,"She is never happy until she finds something to be unhappy about; then, she is overjoyed."
6,7,2021/11/17 18:05:58,With the high wind warning
6,8,2021/08/10 0:52:59,He figured a few sticks of dynamite were easier than a fishing pole to catch fish.
7,9,2021/08/20 7:16:06,"Even with the snow falling outside, she felt it appropriate to wear her bikini."
10,10,2021/01/01 0:36:07,There aren't enough towels in the world to stop the sewage flowing from his mouth.
6,11,2021/02/28 11:00:56,Baby wipes are made of chocolate stardust.
6,12,2021/01/04 2:17:07,The sky is clear; the stars are twinkling.
6,13,2021/01/02 0:11:44,The child’s favorite Christmas gift was the large box her father’s lawnmower came in.
10,14,2021/06/11 17:27:01,"You have every right to be angry, but that doesn't give you the right to be mean."
7,15,2021/05/30 2:25:12,Charles ate the french fries knowing they would be his last meal.
2,16,2021/03/27 7:14:53,100 years old is such a young age if you happen to be a bristlecone pine.
6,17,2021/03/26 7:44:51,When confronted with a rotary dial phone the teenager was perplexed.
6,18,2021/09/19 4:18:19,He decided that the time had come to be stronger than any of the excuses he'd used until then.
1,19,2021/08/01 12:15:41,Peanut butter and jelly caused the elderly lady to think about her past.
2,20,2021/05/18 6:49:57,They looked up at the sky and saw a million stars.
2,21,2021/01/24 7:26:34,At that moment I was the most fearsome weasel in the entire swamp.
8,22,2021/06/04 20:49:32,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
5,23,2021/11/12 10:02:12,The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
9,24,2021/05/10 23:53:02,"It took him a while to realize that everything he decided not to change, he was actually choosing."
8,25,2021/04/18 5:22:30,Mr. Montoya knows the way to the bakery even though he's never been there.
7,26,2021/03/07 19:07:25,They desperately needed another drummer since the current one only knew how to play bongos.
5,27,2021/03/30 21:43:50,"In that instant, everything changed."
10,28,2021/04/05 18:19:43,The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks.
9,29,2021/05/27 5:51:48,Her fragrance of choice was fresh garlic.
2,30,2021/02/24 18:37:09,Everyone says they love nature until they realize how dangerous she can be.
